Name,Team,Position,Age,Weight,College,Salary
Dorell Wright,Miami Heat,SF,(30+0j),205,,
Dewayne Dedmon,Orlando Magic,C,(26+0j),245,USC,947276.0
Evan Fournier,Orlando Magic,SG,(23+0j),205,,2288205.0
Aaron Gordon,Orlando Magic,PF,(20+0j),220,Arizona,4171680.0
Mario Hezonja,Orlando Magic,SG,(21+0j),218,,3741480.0
Ersan Ilyasova,Orlando Magic,PF,(29+0j),235,,7900000.0
Brandon Jennings,Orlando Magic,PG,(26+0j),169,,8344497.0
Devyn Marble,Orlando Magic,SF,(23+0j),200,Iowa,845059.0
Shabazz Napier,Orlando Magic,PG,(24+0j),175,Connecticut,1294440.0
Andrew Nicholson,Orlando Magic,PF,(26+0j),250,St. Bonaventure,2380593.0
Victor Oladipo,Orlando Magic,SG,(24+0j),210,Indiana,5192520.0
Elfrid Payton,Orlando Magic,PG,(22+0j),185,Louisiana-Lafayette,2505720.0
Jason Smith,Orlando Magic,PF,(30+0j),240,Colorado State,4300000.0
Nikola Vucevic,Orlando Magic,C,(25+0j),260,USC,11250000.0
C.J. Watson,Orlando Magic,PG,(32+0j),175,Tennessee,5000000.0
Alan Anderson,Washington Wizards,SG,(33+0j),220,Michigan State,4000000.0
Bradley Beal,Washington Wizards,SG,(22+0j),207,Florida,5694674.0
Jared Dudley,Washington Wizards,SF,(30+0j),225,Boston College,4375000.0
Jarell Eddie,Washington Wizards,SG,(24+0j),218,Virginia Tech,561716.0
Drew Gooden,Washington Wizards,PF,(34+0j),250,Kansas,3300000.0
Marcin Gortat,Washington Wizards,C,(32+0j),240,,11217391.0
JJ Hickson,Washington Wizards,C,(27+0j),242,North Carolina State,273038.0
Nene Hilario,Washington Wizards,C,(33+0j),250,,13000000.0
Markieff Morris,Washington Wizards,PF,(26+0j),245,Kansas,8000000.0
Kelly Oubre Jr.,Washington Wizards,SF,(20+0j),205,Kansas,1920240.0
Otto Porter Jr.,Washington Wizards,SF,(23+0j),198,Georgetown,4662960.0
Ramon Sessions,Washington Wizards,PG,(30+0j),190,Nevada,2170465.0
Garrett Temple,Washington Wizards,SG,(30+0j),195,LSU,1100602.0
Marcus Thornton,Washington Wizards,SF,(29+0j),205,LSU,200600.0
John Wall,Washington Wizards,PG,(25+0j),195,Kentucky,15851950.0
Darrell Arthur,Denver Nuggets,PF,(28+0j),235,Kansas,2814000.0
D.J. Augustin,Denver Nuggets,PG,(28+0j),183,Texas,3000000.0
Will Barton,Denver Nuggets,SF,(25+0j),175,Memphis,3533333.0
Wilson Chandler,Denver Nuggets,SF,(29+0j),225,DePaul,10449438.0
Kenneth Faried,Denver Nuggets,PF,(26+0j),228,Morehead State,11235955.0
Danilo Gallinari,Denver Nuggets,SF,(27+0j),225,,14000000.0
Gary Harris,Denver Nuggets,SG,(21+0j),210,Michigan State,1584480.0
Nikola Jokic,Denver Nuggets,C,(21+0j),250,,1300000.0
Joffrey Lauvergne,Denver Nuggets,C,(24+0j),220,,1709719.0
Mike Miller,Denver Nuggets,SG,(36+0j),218,Florida,947276.0
Emmanuel Mudiay,Denver Nuggets,PG,(20+0j),200,,3102240.0
Jameer Nelson,Denver Nuggets,PG,(34+0j),190,Saint Joseph's,4345000.0
Jusuf Nurkic,Denver Nuggets,C,(21+0j),280,,1842000.0
JaKarr Sampson,Denver Nuggets,SG,(23+0j),214,St. John's,258489.0
Axel Toupane,Denver Nuggets,SG,(23+0j),210,,
Nemanja Bjelica,Minnesota Timberwolves,PF,(28+0j),240,,3950001.0
Gorgui Dieng,Minnesota Timberwolves,C,(26+0j),241,Louisville,1474440.0
Kevin Garnett,Minnesota Timberwolves,PF,(40+0j),240,,8500000.0
Tyus Jones,Minnesota Timberwolves,PG,(20+0j),195,Duke,1282080.0
Zach LaVine,Minnesota Timberwolves,PG,(21+0j),189,UCLA,2148360.0
Shabazz Muhammad,Minnesota Timberwolves,SF,(23+0j),223,UCLA,2056920.0
Adreian Payne,Minnesota Timberwolves,PF,(25+0j),237,Michigan State,1938840.0
Nikola Pekovic,Minnesota Timberwolves,C,(30+0j),307,,12100000.0
Tayshaun Prince,Minnesota Timberwolves,SF,(36+0j),212,Kentucky,947276.0
Ricky Rubio,Minnesota Timberwolves,PG,(25+0j),194,,12700000.0
Damjan Rudez,Minnesota Timberwolves,SF,(29+0j),230,,1149500.0
Greg Smith,Minnesota Timberwolves,PF,(25+0j),250,Fresno State,
Karl-Anthony Towns,Minnesota Timberwolves,C,(20+0j),244,Kentucky,5703600.0
Andrew Wiggins,Minnesota Timberwolves,SG,(21+0j),199,Kansas,5758680.0
Steven Adams,Oklahoma City Thunder,C,(22+0j),255,Pittsburgh,2279040.0
Nick Collison,Oklahoma City Thunder,PF,(35+0j),255,Kansas,3750000.0
Kevin Durant,Oklahoma City Thunder,SF,(27+0j),240,Texas,20158622.0
Randy Foye,Oklahoma City Thunder,SG,(32+0j),213,Villanova,3135000.0
Josh Huestis,Oklahoma City Thunder,SF,(24+0j),230,Stanford,1140240.0
Serge Ibaka,Oklahoma City Thunder,PF,(26+0j),245,,12250000.0
Enes Kanter,Oklahoma City Thunder,C,(24+0j),245,Kentucky,16407500.0
Mitch McGary,Oklahoma City Thunder,PF,(24+0j),255,Michigan,1463040.0
Nazr Mohammed,Oklahoma City Thunder,C,(38+0j),250,Kentucky,222888.0
Anthony Morrow,Oklahoma City Thunder,SG,(30+0j),210,Georgia Tech,3344000.0
Cameron Payne,Oklahoma City Thunder,PG,(21+0j),185,Murray State,2021520.0
Andre Roberson,Oklahoma City Thunder,SG,(24+0j),210,Colorado,1210800.0
Kyle Singler,Oklahoma City Thunder,SF,(28+0j),228,Duke,4500000.0
Dion Waiters,Oklahoma City Thunder,SG,(24+0j),220,Syracuse,5138430.0
Russell Westbrook,Oklahoma City Thunder,PG,(27+0j),200,UCLA,16744218.0
Cliff Alexander,Portland Trail Blazers,PF,(20+0j),240,Kansas,525093.0
Al-Farouq Aminu,Portland Trail Blazers,SF,(25+0j),215,Wake Forest,8042895.0
Pat Connaughton,Portland Trail Blazers,SG,(23+0j),206,Notre Dame,625093.0
Allen Crabbe,Portland Trail Blazers,SG,(24+0j),210,California,947276.0
Ed Davis,Portland Trail Blazers,C,(27+0j),240,North Carolina,6980802.0
Maurice Harkless,Portland Trail Blazers,SF,(23+0j),215,St. John's,2894059.0
Gerald Henderson,Portland Trail Blazers,SG,(28+0j),215,Duke,6000000.0
Chris Kaman,Portland Trail Blazers,C,(34+0j),265,Central Michigan,5016000.0
Meyers Leonard,Portland Trail Blazers,PF,(24+0j),245,Illinois,3075880.0
Damian Lillard,Portland Trail Blazers,PG,(25+0j),195,Weber State,4236287.0
C.J. McCollum,Portland Trail Blazers,SG,(24+0j),200,Lehigh,2525160.0
Luis Montero,Portland Trail Blazers,SG,(23+0j),185,Westchester CC,525093.0
Mason Plumlee,Portland Trail Blazers,C,(26+0j),235,Duke,1415520.0
Brian Roberts,Portland Trail Blazers,PG,(30+0j),173,Dayton,2854940.0
Noah Vonleh,Portland Trail Blazers,PF,(20+0j),240,Indiana,2637720.0
Trevor Booker,Utah Jazz,PF,(28+0j),228,Clemson,4775000.0
Trey Burke,Utah Jazz,PG,(23+0j),191,Michigan,2658240.0
Alec Burks,Utah Jazz,SG,(24+0j),214,Colorado,9463484.0
Dante Exum,Utah Jazz,PG,(20+0j),190,,3777720.0
Derrick Favors,Utah Jazz,PF,(24+0j),265,Georgia Tech,12000000.0
Rudy Gobert,Utah Jazz,C,(23+0j),245,,1175880.0
Gordon Hayward,Utah Jazz,SF,(26+0j),226,Butler,15409570.0
Rodney Hood,Utah Jazz,SG,(23+0j),206,Duke,1348440.0
Joe Ingles,Utah Jazz,SF,(28+0j),226,,2050000.0
Chris Johnson,Utah Jazz,SF,(26+0j),206,Dayton,981348.0
Trey Lyles,Utah Jazz,PF,(20+0j),234,Kentucky,2239800.0
Shelvin Mack,Utah Jazz,PG,(26+0j),203,Butler,2433333.0
Raul Neto,Utah Jazz,PG,(24+0j),179,,900000.0
Tibor Pleiss,Utah Jazz,C,(26+0j),256,,2900000.0
Jeff Withey,Utah Jazz,C,(26+0j),231,Kansas,947276.0
